year,color_name,rgb,quantity,color_info
1992,Milky White,FFFFFF,16,Milky White (FFFFFF)
1992,Red,C91A09,1775,Red (C91A09)
1992,Tan,E4CD9E,7,Tan (E4CD9E)
1992,Trans-Clear,FCFCFC,105,Trans-Clear (FCFCFC)
1992,Trans-Dark Blue,0020A0,87,Trans-Dark Blue (0020A0)
1992,Trans-Green,84B68D,49,Trans-Green (84B68D)
1992,Trans-Light Blue,AEEFEC,74,Trans-Light Blue (AEEFEC)
1992,Trans-Neon Green,F8F184,5,Trans-Neon Green (F8F184)
1992,Trans-Red,C91A09,84,Trans-Red (C91A09)
1992,Trans-Yellow,F5CD2F,139,Trans-Yellow (F5CD2F)
1992,Violet,4354A3,1,Violet (4354A3)
1992,White,FFFFFF,2293,White (FFFFFF)
1992,Yellow,F2CD37,1259,Yellow (F2CD37)
1992,[No Color/Any Color],05131D,30,[No Color/Any Color] (05131D)
1993,Black,05131D,4667,Black (05131D)
1993,Blue,0055BF,1212,Blue (0055BF)
1993,Brown,583927,238,Brown (583927)
